字,閩南語聲母,閩南語韻母,閩南語調,文白音
亞,,a,1,替
腌,,a,1,替
阿,,a,1,白
鴉,,a,1,
哈,h,a,1,
交,k,a,1,替
佳,k,a,1,
傀,k,a,1,替
加,k,a,1,替
咖,k,a,1,
咳,k,a,1,替
嘉,k,a,1,
家,k,a,1,文
枷,k,a,1,文
瞌,k,a,1,替
膠,k,a,1,
茄,k,a,1,
茭,k,a,1,
虼,k,a,1,替
袈,k,a,1,
鉸,k,a,1,
鮫,k,a,1,
鵁,k,a,1,替
咳,kh,a,1,替
尻,kh,a,1,替
枷,kh,a,1,文
茭,kh,a,1,
跤,kh,a,1,
拉,l,a,1,替
媽,m,a,1,
馬,m,a,1,替
焦,n,a,1,替
吧,p,a,1,替
巴,p,a,1,
疤,p,a,1,
笆,p,a,1,
羓,p,a,1,替
芭,p,a,1,
𢼌,p,a,1,替
拋,ph,a,1,白
脬,ph,a,1,
葩,ph,a,1,
捎,s,a,1,
柵,s,a,1,俗
沙,s,a,1,文
紗,s,a,1,文
莎,s,a,1,
大,t,a,1,替
奈,t,a,1,白
焦,t,a,1,替
礁,t,a,1,白
昨,ts,a,1,
查,ts,a,1,俗
臢,ts,a,1,替
差,tsh,a,1,文
橄,k,ann,1,白
監,k,ann,1,白
坩,kh,ann,1,替
三,s,ann,1,白
相,s,ann,1,白
衫,s,ann,1,
今,t,ann,1,替
擔,t,ann,1,白
他,th,ann,1,
庵,,am,1,
掩,,am,1,替
罨,,am,1,替
諳,,am,1,
醃,,am,1,
闇,,am,1,替
𧌄,,am,1,
䈄,h,am,1,替
蚶,h,am,1,
𦜆,h,am,1,替
柑,k,am,1,
甘,k,am,1,
疳,k,am,1,
監,k,am,1,文
魽,k,am,1,替
勘,kh,am,1,
堪,kh,am,1,
龕,kh,am,1,
籠,l,am,1,替
三,s,am,1,文
杉,s,am,1,
舢,s,am,1,
啖,t,am,1,替
擔,t,am,1,文
貪,th,am,1,
沾,ts,am,1,替
參,tsh,am,1,
摻,tsh,am,1,
