字,小韻,聲母,韻目,調,等,呼,韻母
東,東,端,東,平,一,開,東一
菄,東,端,東,平,一,開,東一
鶇,東,端,東,平,一,開,東一
䍶,東,端,東,平,一,開,東一
𠍀,東,端,東,平,一,開,東一
倲,東,端,東,平,一,開,東一
𩜍,東,端,東,平,一,開,東一
𢘐,東,端,東,平,一,開,東一
涷,東,端,東,平,一,開,東一
蝀,東,端,東,平,一,開,東一
凍,東,端,東,平,一,開,東一
鯟,東,端,東,平,一,開,東一
𢔅,東,端,東,平,一,開,東一
崠,東,端,東,平,一,開,東一
埬,東,端,東,平,一,開,東一
𧓕,東,端,東,平,一,開,東一
䰤,東,端,東,平,一,開,東一
同,同,定,東,平,一,開,東一
仝,同,定,東,平,一,開,東一
童,同,定,東,平,一,開,東一
僮,同,定,東,平,一,開,東一
銅,同,定,東,平,一,開,東一
桐,同,定,東,平,一,開,東一
峒,同,定,東,平,一,開,東一
硐,同,定,東,平,一,開,東一
𦨴,同,定,東,平,一,開,東一
𧱁,同,定,東,平,一,開,東一
筒,同,定,東,平,一,開,東一
瞳,同,定,東,平,一,開,東一
㼧,同,定,東,平,一,開,東一
𤭁,同,定,東,平,一,開,東一
罿,同,定,東,平,一,開,東一
犝,同,定,東,平,一,開,東一
筩,同,定,東,平,一,開,東一
潼,同,定,東,平,一,開,東一
曈,同,定,東,平,一,開,東一
洞,同,定,東,平,一,開,東一
侗,同,定,東,平,一,開,東一
橦,同,定,東,平,一,開,東一
烔,同,定,東,平,一,開,東一
䴀,同,定,東,平,一,開,東一
挏,同,定,東,平,一,開,東一
酮,同,定,東,平,一,開,東一
鮦,同,定,東,平,一,開,東一
㼿,同,定,東,平,一,開,東一
𦏆,同,定,東,平,一,開,東一
𦍻,同,定,東,平,一,開,東一
眮,同,定,東,平,一,開,東一
蕫,同,定,東,平,一,開,東一
穜,同,定,東,平,一,開,東一
衕,同,定,東,平,一,開,東一
𩍅,同,定,東,平,一,開,東一
𢈉,同,定,東,平,一,開,東一
䆚,同,定,東,平,一,開,東一
哃,同,定,東,平,一,開,東一
𢏕,同,定,東,平,一,開,東一
絧,同,定,東,平,一,開,東一
𨚯,同,定,東,平,一,開,東一
𨝯,同,定,東,平,一,開,東一
𪔝,同,定,東,平,一,開,東一
𩦶,同,定,東,平,一,開,東一
𪒿,同,定,東,平,一,開,東一
中,中,知,東,平,三,開,東三
中,中,知,送,去,三,開,東三
衷,中,知,東,平,三,開,東三
衷,中,知,送,去,三,開,東三
忠,中,知,東,平,三,開,東三
忠,中,知,送,去,三,開,東三
𦬕,中,知,東,平,三,開,東三
𦬕,中,知,送,去,三,開,東三
蟲,蟲,澄,東,平,三,開,東三
沖,蟲,澄,東,平,三,開,東三
种,蟲,澄,東,平,三,開,東三
盅,蟲,澄,東,平,三,開,東三
爞,蟲,澄,東,平,三,開,東三
𦬕,蟲,澄,東,平,三,開,東三
翀,蟲,澄,東,平,三,開,東三
